abnormal_subdomain,nb_external_redirection,longest_words_raw,longest_word_host,phish_hints,suspecious_tld,dns_record,status
0,0,9,9,1,0,0,phishing
0,0,16,16,0,0,0,phishing
0,0,11,7,0,0,0,phishing
0,0,15,15,1,0,0,phishing
0,0,15,15,0,0,0,phishing
0,0,32,16,0,0,0,phishing
0,0,8,7,3,0,0,phishing
0,0,9,9,1,0,0,phishing
0,0,80,6,0,0,0,phishing
0,0,8,7,0,0,0,phishing
0,0,16,16,1,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,6,6,0,0,0,phishing
0,0,8,8,1,0,0,phishing
0,0,7,7,1,0,0,phishing
0,0,9,7,0,0,0,phishing
0,0,15,15,0,0,0,phishing
0,0,16,16,3,0,0,phishing
0,0,11,11,2,0,0,phishing
0,0,16,12,0,0,0,phishing
0,0,15,6,1,0,0,phishing
0,0,32,17,0,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,26,10,3,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,38,38,0,0,0,phishing
0,0,10,7,0,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,22,18,1,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,39,39,1,0,0,phishing
0,0,11,11,0,1,0,phishing
0,0,16,16,1,0,0,phishing
0,0,8,8,2,0,0,phishing
0,0,300,7,1,0,0,phishing
0,0,9,9,0,0,0,phishing
0,0,9,9,0,0,0,phishing
0,0,108,10,2,0,0,phishing
0,0,202,9,0,0,0,phishing
0,0,18,18,0,0,1,phishing
0,0,11,6,2,0,0,phishing
0,0,10,10,0,0,0,phishing
0,0,14,6,2,0,0,phishing
0,0,12,12,1,0,0,phishing
0,0,10,10,2,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,17,8,0,0,0,phishing
1,0,7,7,1,0,0,phishing
0,0,10,5,0,0,0,phishing
0,0,17,9,0,0,0,phishing
0,0,10,4,3,0,0,phishing
0,0,7,6,0,0,0,phishing
0,0,64,11,2,0,0,phishing
0,0,11,11,1,0,0,phishing
0,0,15,15,3,0,0,phishing
0,0,27,9,0,0,0,phishing
1,1,3,3,0,0,1,phishing
0,0,8,8,0,0,0,phishing
0,0,16,16,0,1,0,phishing
1,0,15,15,0,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,9,9,1,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,13,13,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,32,7,0,0,0,phishing
0,0,64,5,4,0,0,phishing
0,0,19,19,2,0,0,phishing
0,0,46,17,0,0,0,phishing
0,0,9,2,0,0,0,phishing
0,0,7,7,1,0,0,phishing
0,0,32,8,0,0,0,phishing
0,0,21,21,0,0,0,phishing
0,0,21,6,2,0,0,phishing
0,0,7,7,0,0,0,phishing
0,0,67,9,0,0,0,phishing
0,0,33,12,0,1,0,phishing
0,0,42,42,0,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,18,18,0,0,0,phishing
0,0,16,16,1,0,0,phishing
0,0,64,10,2,0,0,phishing
0,0,21,21,0,0,0,phishing
0,0,11,5,0,0,0,phishing
0,0,31,6,1,0,0,phishing
1,0,32,32,0,0,0,phishing
0,0,6,6,0,0,0,phishing
0,0,3,1,0,0,0,phishing
0,0,17,17,1,0,0,phishing
0,0,15,13,0,0,0,phishing
0,0,13,11,0,0,0,phishing
0,0,87,16,0,0,0,phishing
0,0,14,14,0,0,0,phishing
0,0,16,16,0,0,0,phishing
1,1,6,3,1,0,1,phishing
0,0,32,11,3,0,0,phishing
0,0,5,5,0,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,14,14,0,0,0,phishing
0,0,10,3,0,0,0,phishing
0,0,15,10,0,0,0,phishing
0,0,7,7,0,0,0,phishing
0,0,13,12,4,0,0,phishing
0,0,20,20,0,0,0,phishing
0,0,6,6,2,0,0,phishing
0,0,10,10,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,10,10,3,0,0,phishing
0,0,11,11,2,0,0,phishing
0,0,6,5,1,1,0,phishing
0,0,9,9,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,13,10,0,0,0,phishing
0,0,7,4,0,0,0,phishing
0,0,21,3,1,1,0,phishing
0,0,9,7,0,0,0,phishing
0,0,15,7,0,0,0,phishing
0,0,21,21,2,0,0,phishing
0,0,7,7,1,0,0,phishing
0,0,9,9,0,0,0,phishing
0,0,13,13,2,0,0,phishing
0,0,9,9,0,0,0,phishing
0,0,70,12,0,0,0,phishing
0,0,16,16,1,0,0,phishing
0,0,10,10,0,0,0,phishing
0,0,10,5,0,1,0,phishing
0,0,11,7,0,0,0,phishing
0,0,18,18,0,0,0,phishing
0,0,10,10,0,0,1,phishing
0,0,7,4,0,0,0,phishing
0,0,13,5,0,0,0,phishing
0,0,10,10,0,0,0,phishing
0,0,23,6,0,0,0,phishing
0,0,15,13,0,0,0,phishing
0,0,18,18,3,0,0,phishing
1,0,32,20,0,0,0,phishing
0,0,10,10,1,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,23,23,0,0,0,phishing
0,0,17,10,0,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,30,17,2,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,7,7,1,0,0,phishing
0,0,10,5,2,0,0,phishing
0,0,44,8,0,0,0,phishing
0,0,32,19,0,0,0,phishing
0,0,9,9,0,0,0,phishing
0,0,18,18,0,0,0,phishing
0,0,8,5,0,0,0,phishing
0,0,12,10,0,0,0,phishing
0,0,17,17,1,0,1,phishing
0,0,12,12,2,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,7,7,0,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,32,8,1,0,0,phishing
0,0,168,19,0,0,0,phishing
0,0,22,22,0,0,0,phishing
0,0,9,6,0,0,0,phishing
0,0,8,6,0,0,0,phishing
0,0,16,10,1,0,0,phishing
0,0,21,21,0,0,0,phishing
0,0,6,4,0,1,0,phishing
0,0,12,12,0,0,0,phishing
0,0,5,5,0,0,0,phishing
0,0,20,20,4,0,0,phishing
0,0,16,6,2,0,0,phishing
1,1,73,3,1,0,1,phishing
0,0,18,18,3,0,0,phishing
0,0,32,13,2,0,0,phishing
0,0,32,8,0,0,0,phishing
1,0,11,11,0,0,0,phishing
0,0,13,13,1,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,11,6,0,0,0,phishing
0,0,7,6,0,0,0,phishing
0,0,7,7,0,0,0,phishing
0,0,12,10,0,0,1,phishing
0,0,32,10,2,0,0,phishing
0,0,9,9,0,0,0,phishing
0,0,11,11,1,0,0,phishing
0,0,13,12,3,0,0,phishing
0,0,36,10,1,0,0,phishing
0,0,32,20,0,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,29,6,1,0,0,phishing
0,0,13,8,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,18,18,0,1,0,phishing
0,0,11,11,0,0,0,phishing
0,0,49,6,1,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,9,9,0,0,0,phishing
0,0,32,10,1,0,0,phishing
0,0,10,10,0,0,1,phishing
0,0,7,7,0,0,0,phishing
1,0,5,3,1,0,1,phishing
0,0,4,3,0,0,0,phishing
0,0,20,20,0,0,0,phishing
1,0,22,3,3,0,1,phishing
0,0,10,4,0,0,0,phishing
0,0,8,8,1,0,0,phishing
0,0,15,15,2,0,0,phishing
1,0,24,3,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,24,8,1,0,0,phishing
0,0,17,17,1,0,1,phishing
0,0,8,8,1,0,0,phishing
0,0,19,19,0,0,0,phishing
0,0,13,13,0,0,0,phishing
0,0,32,10,0,0,0,phishing
0,0,56,6,1,0,0,phishing
0,0,19,19,0,0,0,phishing
0,0,10,7,0,0,0,phishing
0,0,32,19,0,0,0,phishing
0,0,8,8,1,0,0,phishing
0,0,27,9,0,0,0,phishing
0,0,9,9,0,0,0,phishing
0,0,13,13,3,0,0,phishing
0,0,13,13,1,0,0,phishing
0,0,20,20,3,0,0,phishing
0,0,21,21,0,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,3,1,0,0,0,phishing
0,0,57,15,0,0,0,phishing
1,0,70,20,0,0,0,phishing
1,0,16,3,1,0,1,phishing
0,0,16,16,1,0,0,phishing
0,0,11,11,1,0,0,phishing
0,0,23,23,0,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,7,7,0,0,0,phishing
0,0,43,13,2,0,0,phishing
0,0,17,16,0,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,7,7,0,0,0,phishing
0,0,10,10,0,0,0,phishing
0,0,14,14,3,0,0,phishing
0,0,11,11,0,0,0,phishing
1,0,32,10,0,0,0,phishing
0,0,5,5,1,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,17,14,0,0,0,phishing
0,0,23,11,1,0,0,phishing
0,0,5,5,0,0,0,phishing
0,0,14,14,1,0,0,phishing
0,0,11,11,1,1,0,phishing
0,0,16,16,5,0,0,phishing
0,0,33,6,1,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,15,15,2,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,6,6,0,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,10,10,0,0,0,phishing
0,0,7,7,0,0,0,phishing
0,0,9,9,0,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,11,6,0,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,9,9,1,0,0,phishing
1,0,15,7,1,0,0,phishing
0,0,43,8,1,0,0,phishing
0,0,17,13,0,0,0,phishing
1,0,14,14,0,0,0,phishing
0,0,13,13,1,0,0,phishing
0,0,32,8,4,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,11,11,0,0,0,phishing
1,0,14,14,0,0,0,phishing
0,0,15,13,0,0,0,phishing
0,0,32,11,3,0,0,phishing
0,0,7,7,0,0,0,phishing
0,0,9,5,0,1,0,phishing
0,0,15,8,0,0,0,phishing
0,0,17,8,0,0,0,phishing
0,0,32,19,0,0,0,phishing
0,0,18,6,4,0,0,phishing
0,0,2,2,0,0,0,phishing
1,1,6,3,1,0,1,phishing
0,0,8,8,0,0,0,phishing
0,0,34,8,0,0,0,phishing
0,0,9,9,0,0,0,phishing
0,0,10,10,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,16,16,0,0,0,phishing
0,0,10,10,0,0,0,phishing
0,0,6,6,0,0,0,phishing
0,0,9,9,0,0,0,phishing
1,0,20,11,0,0,0,phishing
0,0,32,13,0,0,0,phishing
0,0,17,8,1,0,0,phishing
0,0,40,10,3,0,0,phishing
0,0,12,12,0,0,0,phishing
1,0,64,3,2,0,1,phishing
0,0,29,29,1,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,8,8,1,0,1,phishing
0,0,15,15,3,0,0,phishing
0,0,18,18,3,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,14,6,2,0,0,phishing
0,0,11,11,0,0,0,phishing
1,0,7,3,0,0,1,phishing
0,0,10,10,0,0,0,phishing
0,0,9,9,0,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,32,11,0,0,0,phishing
0,0,17,10,0,0,0,phishing
0,0,8,8,0,1,0,phishing
0,0,4,4,0,0,0,phishing
0,0,8,8,1,0,0,phishing
0,0,87,11,0,0,0,phishing
0,0,29,29,2,0,0,phishing
0,0,18,18,0,0,0,phishing
0,0,32,19,0,0,0,phishing
0,0,7,7,1,0,0,phishing
0,0,64,6,2,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,14,14,0,0,0,phishing
0,0,7,5,0,0,0,phishing
0,0,101,12,0,0,0,phishing
0,0,8,6,0,0,0,phishing
0,0,21,21,1,0,0,phishing
0,0,18,16,0,0,0,phishing
0,0,43,13,2,0,0,phishing
0,0,14,14,1,1,0,phishing
0,0,43,6,0,0,0,phishing
0,0,13,9,0,0,0,phishing
0,0,10,7,1,0,0,phishing
0,0,32,7,0,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,13,13,3,0,0,phishing
0,0,10,10,2,0,0,phishing
0,0,16,3,2,0,0,phishing
0,0,32,30,0,0,0,phishing
0,0,15,15,1,0,0,phishing
1,0,22,3,2,0,1,phishing
0,0,15,13,0,0,0,phishing
0,0,32,4,0,0,0,phishing
0,0,14,14,0,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,6,6,1,0,0,phishing
0,0,13,13,0,0,0,phishing
0,0,16,16,0,0,0,phishing
0,0,15,15,0,0,0,phishing
0,0,7,7,0,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,9,5,3,0,0,phishing
0,0,13,13,0,0,0,phishing
1,0,32,3,0,0,1,phishing
0,0,8,7,0,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,32,7,2,0,0,phishing
0,0,14,5,3,0,0,phishing
0,0,64,10,2,0,0,phishing
0,0,29,9,4,0,0,phishing
0,0,32,3,0,0,0,phishing
0,0,23,23,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,10,10,0,0,1,phishing
0,0,13,13,2,0,0,phishing
0,0,14,5,0,0,0,phishing
0,0,9,9,0,1,0,phishing
0,0,36,36,0,0,0,phishing
0,0,9,9,0,0,0,phishing
0,0,13,13,3,0,0,phishing
0,0,67,9,0,0,0,phishing
0,0,9,9,3,0,0,phishing
0,0,12,12,1,0,0,phishing
0,0,14,14,4,0,0,phishing
0,0,32,7,0,0,0,phishing
0,0,22,22,2,0,0,phishing
1,0,14,14,0,0,0,phishing
0,0,6,6,3,0,0,phishing
0,0,10,10,1,1,0,phishing
0,0,8,8,0,0,0,phishing
0,0,32,15,3,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,15,15,0,0,0,phishing
0,0,64,8,3,0,1,phishing
0,0,9,7,2,0,0,phishing
0,0,29,29,2,0,0,phishing
0,0,10,10,1,0,0,phishing
0,0,19,4,0,0,0,phishing
0,0,32,6,0,0,0,phishing
0,0,17,6,1,0,0,phishing
0,0,12,12,1,0,0,phishing
0,0,10,8,3,0,0,phishing
0,0,9,9,0,0,0,phishing
0,0,28,6,0,0,0,phishing
0,0,14,14,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,8,8,1,0,0,phishing
0,0,15,15,0,0,0,phishing
0,0,11,11,3,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,38,9,0,0,0,phishing
0,0,5,4,0,0,0,phishing
0,0,32,7,0,0,0,phishing
0,0,10,10,0,0,0,phishing
0,0,20,20,0,0,0,phishing
0,0,6,6,0,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,17,6,1,0,0,phishing
0,0,12,12,3,0,0,phishing
0,0,8,8,1,1,0,phishing
0,0,7,7,0,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,15,13,0,0,0,phishing
0,0,14,14,0,0,0,phishing
0,0,17,16,0,0,0,phishing
0,0,3,1,0,0,0,phishing
0,0,13,13,3,0,0,phishing
0,0,29,2,0,0,0,phishing
0,0,13,13,0,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,14,14,1,0,0,phishing
0,0,31,16,1,0,0,phishing
0,0,32,13,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,9,9,0,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,26,15,0,0,0,phishing
0,0,23,14,1,0,0,phishing
0,0,9,9,2,0,0,phishing
0,0,13,13,3,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,32,19,0,0,0,phishing
0,0,14,6,2,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,26,10,0,0,0,phishing
0,0,15,4,0,0,0,phishing
0,0,19,19,2,0,0,phishing
0,0,13,13,0,0,0,phishing
0,0,12,12,4,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,13,13,0,0,0,phishing
0,0,6,1,0,0,0,phishing
0,0,7,7,0,0,0,phishing
0,0,32,19,0,0,0,phishing
0,0,17,8,1,0,0,phishing
0,0,12,12,2,0,0,phishing
0,0,7,7,0,0,0,phishing
0,0,32,7,0,0,0,phishing
0,0,4,4,0,0,0,phishing
0,0,16,8,0,0,0,phishing
0,0,12,12,0,1,0,phishing
0,0,18,18,0,0,0,phishing
0,0,20,20,0,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,11,11,4,0,0,phishing
0,0,22,22,3,0,0,phishing
0,0,47,47,0,0,0,phishing
0,0,9,9,0,0,0,phishing
0,0,17,13,0,0,0,phishing
1,0,13,3,0,0,1,phishing
0,0,10,10,3,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,23,23,0,0,0,phishing
0,0,14,14,0,1,0,phishing
0,0,8,8,0,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,15,8,1,0,1,phishing
0,0,13,13,0,0,0,phishing
0,0,7,6,0,0,0,phishing
0,0,7,7,0,1,0,phishing
0,0,17,13,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,8,5,0,1,0,phishing
0,0,13,13,4,0,0,phishing
0,0,6,6,0,1,0,phishing
0,0,11,11,1,0,0,phishing
0,0,11,11,1,0,1,phishing
0,0,10,10,2,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,40,10,0,0,0,phishing
0,0,18,18,1,0,0,phishing
0,0,10,10,0,0,0,phishing
0,0,6,6,0,0,0,phishing
0,0,11,8,3,0,0,phishing
0,0,34,34,0,0,0,phishing
0,0,9,7,0,0,0,phishing
0,0,15,15,0,0,0,phishing
0,0,49,6,1,0,0,phishing
0,0,9,8,1,0,0,phishing
0,0,40,6,1,0,0,phishing
0,0,4,4,0,0,0,phishing
0,0,200,8,1,0,0,phishing
0,0,9,9,3,0,0,phishing
0,0,14,14,0,0,0,phishing
0,0,7,7,0,0,1,phishing
0,0,18,18,3,0,0,phishing
0,0,14,14,0,0,0,phishing
0,0,5,5,0,0,0,phishing
0,0,43,6,0,0,0,phishing
0,0,11,10,0,0,0,phishing
0,0,17,17,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,30,30,0,0,0,phishing
0,0,43,13,2,0,0,phishing
0,0,10,10,0,0,0,phishing
0,0,48,7,0,0,0,phishing
0,0,31,21,0,0,0,phishing
0,0,11,4,0,0,0,phishing
0,0,32,7,0,0,0,phishing
0,0,14,14,0,0,0,phishing
0,0,15,13,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,8,8,0,0,1,phishing
1,0,7,3,0,0,1,phishing
0,0,14,14,3,0,0,phishing
0,0,12,12,0,0,0,phishing
1,0,3,3,0,0,1,phishing
0,0,43,15,0,0,0,phishing
0,0,7,4,0,0,0,phishing
0,0,5,4,0,0,0,phishing
0,0,9,9,0,1,1,phishing
0,0,49,6,1,0,0,phishing
0,0,19,5,0,0,0,phishing
0,0,8,8,0,0,0,phishing
0,0,9,5,3,0,0,phishing
0,0,32,11,3,0,0,phishing
0,0,16,16,0,0,0,phishing
0,0,14,14,2,0,0,phishing
0,0,14,14,0,0,0,phishing
0,0,11,11,0,1,0,phishing
0,0,7,6,2,0,0,phishing
0,0,19,19,0,0,0,phishing
0,0,13,5,0,0,0,phishing
0,0,15,15,1,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,27,27,0,0,0,phishing
0,0,12,12,1,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,11,11,1,0,0,phishing
0,0,13,13,0,0,0,phishing
0,0,18,10,3,0,0,phishing
0,0,32,18,3,0,0,phishing
0,0,20,20,0,0,0,phishing
0,0,13,13,0,0,0,phishing
0,0,15,15,3,0,0,phishing
0,0,9,9,2,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,11,11,0,0,0,phishing
0,0,11,11,1,0,0,phishing
0,0,75,7,0,0,0,phishing
0,0,7,7,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,19,19,0,0,0,phishing
0,0,6,5,1,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,17,13,0,0,0,phishing
0,0,7,7,1,0,0,phishing
0,0,10,5,0,0,0,phishing
0,0,10,10,3,0,0,phishing
0,0,75,7,0,0,0,phishing
0,0,23,10,1,0,0,phishing
0,0,32,19,0,0,0,phishing
1,0,13,3,1,0,1,phishing
0,0,7,7,0,0,0,phishing
0,0,15,15,0,0,0,phishing
0,0,18,18,0,0,0,phishing
0,0,16,16,0,0,0,phishing
1,0,10,10,0,0,0,phishing
0,0,12,12,0,0,0,phishing
0,0,16,16,0,0,0,phishing
0,0,14,14,0,0,0,phishing
0,0,15,15,0,0,0,phishing
0,0,9,9,1,0,0,phishing
0,0,32,11,1,0,0,phishing
